Name,NS,EW
2451,30,33
2452,29,33
2453,28,33
2454,27,33
2455,26,33
2456,25,33
2457,24,33
2458,23,33
2459,22,33
2460,21,33
2461,40,34
2462,39,34
2463,38,34
2464,37,34
2465,36,34
2466,35,34
2467,34,34
2468,33,34
2469,32,34
2470,31,34
2471,30,34
2472,29,34
2473,28,34
2474,27,34
2475,26,34
2476,25,34
2477,24,34
2478,23,34
2479,22,34
2480,21,34
2481,40,35
2482,39,35
2483,38,35
2484,37,35
2485,36,35
2486,35,35
2487,34,35
2488,33,35
2489,32,35
2490,31,35
2491,30,35
2492,29,35
2493,28,35
2494,27,35
2495,26,35
2496,25,35
2497,24,35
2498,23,35
2499,22,35
2500,21,35
2501,40,36
2502,39,36
2503,38,36
2504,37,36
2505,36,36
2506,35,36
2507,34,36
2508,33,36
2509,32,36
2510,31,36
2511,30,36
2512,29,36
2513,28,36
2514,27,36
2515,26,36
2516,25,36
2517,24,36
2518,23,36
2519,22,36
2520,21,36
2521,40,37
2522,39,37
2523,38,37
2524,37,37
2525,36,37
2526,35,37
2527,34,37
2528,33,37
2529,32,37
2530,31,37
2531,30,37
2532,29,37
2533,28,37
2534,27,37
2535,26,37
2536,25,37
2537,24,37
2538,23,37
2539,22,37
2540,21,37
2541,40,38
2542,39,38
2543,38,38
2544,37,38
2545,36,38
2546,35,38
2547,34,38
2548,33,38
2549,32,38
2550,31,38
2551,30,38
2552,29,38
2553,28,38
2554,27,38
2555,26,38
2556,25,38
2557,24,38
2558,23,38
2559,22,38
2560,21,38
2561,40,39
2562,39,39
2563,38,39
2564,37,39
2565,36,39
2566,35,39
2567,34,39
2568,33,39
2569,32,39
2570,31,39
2571,30,39
2572,29,39
2573,28,39
2574,27,39
2575,26,39
2576,25,39
2577,24,39
2578,23,39
2579,22,39
2580,21,39
2581,40,40
2582,39,40
2583,38,40
2584,37,40
2585,36,40
2586,35,40
2587,34,40
2588,33,40
2589,32,40
2590,31,40
2591,30,40
2592,29,40
2593,28,40
2594,27,40
2595,26,40
2596,25,40
2597,24,40
2598,23,40
2599,22,40
2600,21,40
2601,40,41
2602,39,41
2603,38,41
2604,37,41
2605,36,41
2606,35,41
2607,34,41
2608,33,41
2609,32,41
2610,31,41
2611,30,41
2612,29,41
2613,28,41
2614,27,41
2615,26,41
2616,25,41
2617,24,41
2618,23,41
2619,22,41
2620,21,41
2621,40,42
2622,39,42
2623,38,42
2624,37,42
2625,36,42
2626,35,42
2627,34,42
2628,33,42
2629,32,42
2630,31,42
2631,30,42
2632,29,42
2633,28,42
2634,27,42
2635,26,42
2636,25,42
2637,24,42
2638,23,42
2639,22,42
2640,21,42
2641,1,1
2642,2,1
2643,3,1
2644,4,1
2645,5,1
2646,6,1
2647,7,1
2648,8,1
2649,9,1
2650,10,1
2651,11,1
2652,12,1
2653,13,1
2654,14,1
2655,15,1
2656,16,1
2657,17,1
2658,18,1
2659,19,1
2660,20,1
2661,1,2
2662,2,2
2663,3,2
2664,4,2
2665,5,2
2666,6,2
2667,7,2
2668,8,2
2669,9,2
2670,10,2
2671,11,2
2672,12,2
2673,13,2
2674,14,2
2675,15,2
2676,16,2
2677,17,2
2678,18,2
2679,19,2
2680,20,2
2681,1,3
2682,2,3
2683,3,3
2684,4,3
2685,5,3
2686,6,3
2687,7,3
2688,8,3
2689,9,3
2690,10,3
2691,11,3
2692,12,3
2693,13,3
2694,14,3
2695,15,3
2696,16,3
2697,17,3
2698,18,3
2699,19,3
2700,20,3
2701,1,4
2702,2,4
2703,3,4
2704,4,4
2705,5,4
2706,6,4
2707,7,4
2708,8,4
2709,9,4
2710,10,4
2711,11,4
2712,12,4
2713,13,4
2714,14,4
2715,15,4
2716,16,4
2717,17,4
2718,18,4
2719,19,4
2720,20,4
2721,1,5
2722,2,5
2723,3,5
2724,4,5
2725,5,5
2726,6,5
2727,7,5
2728,8,5
2729,9,5
2730,10,5
2731,11,5
2732,12,5
2733,13,5
2734,14,5
2735,15,5
2736,16,5
2737,17,5
2738,18,5
2739,19,5
2740,20,5
2741,1,6
2742,2,6
2743,3,6
2744,4,6
2745,5,6
2746,6,6
2747,7,6
2748,8,6
2749,9,6
2750,10,6
2751,11,6
2752,12,6
2753,13,6
2754,14,6
2755,15,6
2756,16,6
2757,17,6
2758,18,6
2759,19,6
2760,20,6
2761,1,7
2762,2,7
2763,3,7
2764,4,7
2765,5,7
2766,6,7
2767,7,7
2768,8,7
2769,9,7
2770,10,7
2771,11,7
2772,12,7
2773,13,7
2774,14,7
2775,15,7
2776,16,7
2777,17,7
2778,18,7
2779,19,7
2780,20,7
2781,1,8
2782,2,8
2783,3,8
2784,4,8
2785,5,8
2786,6,8
2787,7,8
2788,8,8
2789,9,8
2790,10,8
2791,11,8
2792,12,8
2793,13,8
2794,14,8
2795,15,8
2796,16,8
2797,17,8
2798,18,8
2799,19,8
2800,20,8
2801,1,9
2802,2,9
2803,3,9
2804,4,9
2805,5,9
2806,6,9
2807,7,9
2808,8,9
2809,9,9
2810,10,9
2811,11,9
2812,12,9
2813,13,9
2814,14,9
2815,15,9
2816,16,9
2817,17,9
2818,18,9
2819,19,9
2820,20,9
2821,1,10
2822,2,10
2823,3,10
2824,4,10
2825,5,10
2826,6,10
2827,7,10
2828,8,10
2829,9,10
2830,10,10
2831,11,10
2832,12,10
2833,13,10
2834,14,10
2835,15,10
2836,16,10
2837,17,10
2838,18,10
2839,19,10
