"Barcode","Area","AreaPerDay","InitialSize","MeanVariance","Round","Replicate","Clover","Rhizobium","NS","EW","n.stolons","weight","growth_per_day","EndSize","HasChangedColor","Measurements","HueRate","StartHue","TimeToGreen"
"68","1868",405423.45,33736.5621621622,13142.9,2819.09170718308,1,2,"Clfin_0213","SM42",33,4,4,32.51,0.637450980392157,209686,TRUE,46,0.546773934650606,60.2744336344429,14
"69","1869",215931.2,26396.4648648649,6756.1,2086.52216228552,1,2,"Aearl_0749","SM164C",32,4,4,9.41,0.224047619047619,144356,TRUE,38,0.14978617320385,60.2320447212564,17
"70","1870",181343.8,20012.2942857143,32950.6,3202.95364233859,1,1,"Rbani_0852","SM153A",31,4,4,24.97,0.480192307692308,154741,TRUE,45,-0.448914268564397,68.9102311817718,16
"71","1871",1066791.5,69333.8736111111,18744.3,4339.21575952546,1,2,"Borek_0101","MIX",30,4,4,42.43,0.831960784313725,207282.5,TRUE,46,0.739832865889959,62.4531313425902,5
"72","1872",164324.45,14243.9040540541,21487.3,3279.58762325269,1,2,"Sster_0859","SM83",29,4,4,9.63,0.218863636363636,107051,TRUE,40,0.105537657575273,58.6530537558425,22
"73","1873",177346.1,14773.6314285714,19218.8,3936.62771910118,1,1,"Aearl_0749","SM132",28,4,4,10.5,0.201923076923077,107737,TRUE,44,0.434731947555487,64.0172708283231,32
"74","1874",148246.75,16884.0857142857,15702.4,2837.39510785271,1,1,"Aearl_0749","NO",27,4,4,9.76,0.187692307692308,126551,TRUE,44,-0.0719351868999806,66.1860219645769,14
"75","1875",979218.55,66597.1264705882,18158.1,4084.11449949291,1,1,"Aearl_0104","SM6",26,4,4,35.89,0.690192307692308,179729,TRUE,44,0.893252685054758,64.4605786138231,9
"76","1876",659914.05,52471.2367647059,17212.7,4347.06539809215,1,1,"Aearl_0749","SM30",25,4,4,24.77,0.476346153846154,194435,TRUE,42,1.06558741803273,64.0304195648262,9
"77","1877",666488.7,54081.7939393939,26017.1,4073.00121097075,1,1,"Aalon_0101","SM155B",24,4,4,32.87,0.632115384615385,200264,TRUE,42,0.558619220348877,65.4423697433286,11
"78","1878",653551.65,49212.0485294118,19992.2,4179.47151645504,1,1,"Lflex_0642","MIX",23,4,4,31.41,0.604038461538462,189033,TRUE,44,0.899206388958518,65.750906774831,10
"79","1879",217189,21399.4485294118,12338.5,3126.6159798325,1,1,"Lflex_0203","MIX",22,4,4,12.96,0.249230769230769,120091.5,FALSE,42,0.10464583304051,67.7911553941452,12
"80","1880",847276.4,61964.7318181818,19884.6,3704.40581165219,1,1,"Aearl_0749","SM44",21,4,4,32.05,0.616346153846154,176731,TRUE,39,1.23396618370459,61.1134867887571,10
"81","1881",397800.4,34483.8257142857,39144.8,3107.70665373388,1,1,"Aearl_0749","SM136B",40,5,4,29.89,0.574807692307692,201207,TRUE,45,0.422875594845066,65.2989171544789,12
"82","1882",809076.05,57228.6728571428,45085.1,3133.73484022274,1,1,"Mrida_0210","SM42",39,5,4,38.06,0.731923076923077,219318,TRUE,45,0.801355847920023,64.7454161503132,11
"83","1883",1141730.3,76803.4851351351,13833.1,2387.54642567147,1,2,"Aoost_1058","SM42",38,5,4,48.02,0.94156862745098,224020,TRUE,47,0.715594963338691,65.1966280677366,2
"84","1884",264154.1,13551.3243243243,13477.1,2284.61160756782,1,2,"Ctain_0531","SM42",37,5,4,10.31,0.202156862745098,63482,TRUE,47,0.597008410364942,60.4078698643463,1
"85","1885",714175.8,48754.5514285714,25322.7,3074.16779790548,1,1,"Rbani_1063","SM42",36,5,4,36.73,0.706346153846154,171388.5,TRUE,43,0.442882982332942,66.4571320118737,11
"86","1886",294936.25,10927.8513513514,19767,2557.95616192611,1,2,"Lflex_0203","SM157B",35,5,4,8.29,0.197380952380952,49597,TRUE,38,0.00548318608383881,64.5160371968077,1
"87","1887",939781.7,62982.0414285715,17929.2,2348.76471448594,1,1,"Clfin_0102","SM112",34,5,4,36.56,0.703076923076923,194122.5,TRUE,45,0.994762892124882,66.1855170318711,7
"88","1888",844016.7,55834.0342857143,24152.2,1889.65171044007,1,1,"Aearl_0749","SM154B",33,5,4,34.33,0.660192307692308,191424,TRUE,45,1.05008967503551,66.5729918265474,8
"89","1889",1102168.35,68133.4486486487,11027.8,2115.88145204458,1,2,"Aearl_0104","SM6",32,5,4,13.4,0.297777777777778,207734,TRUE,41,0.757807570491009,62.47005400766,1
"90","1890",611225,47306.0714285714,20588.5,2637.06870344667,1,1,"Mrida_1057","SM69",31,5,4,34.4,0.661538461538462,178270.5,TRUE,44,0.827229155269078,63.6548334886053,10
"91","1891",696120,52490.2285714286,16195.3,3474.90631990542,1,1,"Aearl_0749","SM109",30,5,4,27.78,0.534230769230769,198244,TRUE,45,1.11219559436742,61.3737030560694,10
"92","1892",671213.05,43184.43,36621.8,3831.66527303024,1,1,"Sster_0521","SM157A",29,5,4,36.78,0.707307692307692,162452,TRUE,45,0.853398101072143,67.81487085615,10
"93","1893",641196.4,46066.6971428571,20397.1,2411.75926354422,1,1,"Volin_0305","SM36",28,5,4,29.35,0.564423076923077,167987,TRUE,44,0.74501495203333,67.3632142667917,12
"94","1894",505558.9,41149.9185714286,13614.3,2930.21635994437,1,1,"Aearl_0749","SM156",27,5,4,24.55,0.472115384615385,165473,TRUE,43,1.0679384283653,63.7742941095,10
"95","1895",592199.55,41351.0696969697,34486.7,2851.11805910504,1,1,"Rbani_0432","SM42",26,5,4,33.84,0.650769230769231,136832,TRUE,37,1.00325580198222,68.0340943087861,8
"96","1896",416808.4,37974.5757142857,16981.7,2713.32470039406,1,1,"Ccyma_0311","SM21",25,5,4,23.78,0.457307692307692,203419,TRUE,45,0.924689553201363,61.4000670348211,10
"97","1897",625375.1,40533.7528571429,31155.4,3153.40650167786,1,1,"Borek_0619","SM71",24,5,4,32.67,0.628269230769231,156456,TRUE,44,1.01103173519051,63.0320426223395,8
"98","1898",1177794.25,71590.7689189189,26266.8,2691.0964924819,1,2,"Kdike_0103","SM42",23,5,4,47.17,0.924901960784314,219636,TRUE,47,0.497634634288652,62.4173494104095,9
"99","1899",559979.85,43910.7742857143,20625.7,3488.3206786718,1,1,"Aalon_0718","SM145A",22,5,4,28.13,0.540961538461538,183846,TRUE,45,0.861679503040467,62.1589747972947,12
"100","1900",581498.15,41681.8114285714,27688.1,3691.99837699383,1,1,"Ancor_0522","SM145C",21,5,4,27.69,0.5325,172464,TRUE,44,0.595286905144189,67.1911613264974,12
"101","1901",809556.4,58548.9897058823,25427.6,3964.92849117094,1,1,"Aearl_0749","SM119",40,6,4,27.77,0.534038461538462,197048,TRUE,43,0.738855160963309,66.3319293349605,8
"102","1902",595373.45,45348.8162162162,18329.6,3145.68290120267,1,2,"Aearl_0306","SM109",39,6,4,17.62,0.400454545454545,209083,TRUE,40,0.640484771609158,64.58960765971,1
"103","1903",803827.25,53382.75,27989.5,2665.64532273453,1,1,"Aalon_0101","MIX",38,6,4,39.42,0.758076923076923,184577,TRUE,45,0.858368300925951,66.8330049488368,9
"104","1904",211385,26451.15,16460.1,3424.63378387658,1,1,"Aearl_0749","SM48",37,6,4,17.79,0.342115384615385,174403,TRUE,44,-0.00182672274973656,63.9714939152947,20
"105","1905",385355.75,29337.9785714286,24386,3985.42959554167,1,1,"Rling_0204","SM145C",36,6,4,30.86,0.593461538461538,127151,TRUE,45,0.378047440798697,67.0358936250342,10
"106","1906",932391.75,59639.5147058823,20137.5,4303.63010633806,1,2,"Banca_0626","SM42",35,6,4,43.7,0.856862745098039,179316,TRUE,44,0.599029994104938,61.121607822719,11
"107","1907",477710.85,42662.3742857143,16387.4,2916.00575195969,1,1,"Aearl_0527","SM42",34,6,4,22.59,0.434423076923077,207055.5,TRUE,45,0.38968441900558,64.1756638118816,13
"108","1908",464437.85,43082.0171428572,30239.7,3406.67231277727,1,1,"Kdike_0962","SM104",33,6,4,28.91,0.555961538461539,209872,TRUE,45,0.682839793470147,62.9419359006263,12
"109","1909",957050.5,60397.1648648649,15384.9,3786.89492074025,1,2,"Banca_0743","SM42",32,6,4,48.44,0.949803921568627,184805,TRUE,47,0.796678874511024,62.8183969257476,7
"110","1910",585584.95,44451.8414285714,15731.3,3750.72776806473,1,1,"Ilona_0742","SM147B",31,6,4,32.1,0.617307692307692,163685,TRUE,44,0.538608902854856,69.4890855793684,10
"111","1911",736328,50715.1285714286,38895,3229.53894713637,1,1,"Banna_0204","SM158",30,6,4,36.54,0.702692307692308,205762,TRUE,44,0.481791329702968,68.7839326128917,11
"112","1912",450583.5,33788.4571428571,29879,3451.59391220211,1,1,"Ancor_0522","SM42",29,6,4,27.82,0.535,145162,TRUE,44,0.189162845728755,67.978502011,13
"113","1913",104927.05,13494.0514285714,15010.8,2385.48353617425,1,1,"Aearl_0851","SM38",28,6,4,12.68,0.243846153846154,148460,TRUE,45,0.53664889060108,65.0900645448528,12
"114","1914",1121188.25,65914.7014285714,20433.7,4344.75954732003,1,2,"Ilona_0529","SM42",27,6,4,45.24,0.887058823529412,178986,TRUE,45,0.80784179635885,62.8555570822429,7
"115","1915",744016.2,47584.2972222222,22341.1,5105.05378419513,1,2,"Rbani_0536","SM128A",26,6,4,20.01,0.476428571428571,177631,TRUE,37,0.501884434446766,62.3078477303385,24
"116","1916",598762.65,45297.84,30751.2,4005.84234763538,1,1,"Volin_0510","MIX",25,6,4,29.08,0.559230769230769,180917,TRUE,45,0.440815599613389,64.9366526099053,26
"117","1917",778559,49463.3986486486,14023,4403.84012530606,1,2,"Aalon_0205","SM4",24,6,4,20.14,0.447555555555556,185149,TRUE,41,0.534330302059625,60.46336016117,21
"118","1918",622872.95,49981.9557142857,33350.2,3850.2855161736,1,1,"Aalon_0101","SM42",23,6,4,34.28,0.659230769230769,205116,TRUE,44,0.130150667130479,65.7611685737474,12
"119","1919",506769.95,47518.7779411765,15410.6,3792.13020083829,1,1,"Aearl_0749","SM98",22,6,4,25.11,0.482884615384615,190314,TRUE,43,0.972859272608288,63.9273184466579,11
"120","1920",669745.4,44771.8013513514,16808.7,4040.23622705263,1,2,"Mrida_0953","SM115",21,6,4,18.01,0.409318181818182,168495,TRUE,39,0.80609341056901,61.869757825635,1
"121","1921",589682,42139.3428571429,15756,2503.23627806446,1,1,"Aearl_0749","SM151C",40,7,4,22.58,0.434230769230769,178806,TRUE,45,0.81996268927508,62.4047214320595,9
"122","1922",971598.6,66033.8283783784,17931.7,2999.50939754893,1,2,"Kdike_0311","SM42",39,7,4,37.85,0.742156862745098,217252,TRUE,47,0.78125726610924,64.6914232325825,6
"123","1923",1636716.05,89363.3932432433,26466.9,2331.51614168915,1,2,"Lflex_0850","SM151A",38,7,4,31.57,0.751666666666667,220144,TRUE,38,0.605818339970013,63.340944622359,1
"124","1924",359088.25,34328.8142857143,18434.8,2409.52583928128,1,1,"Ilona_0953","SM170A",37,7,4,23.12,0.444615384615385,181984,TRUE,45,0.72745174197721,64.0716326637865,10
"125","1925",173138.2,18954.8128571429,19240.3,2443.35246928176,1,1,"Volin_0102","SM153D",36,7,4,16.09,0.309423076923077,164124,TRUE,45,0.378643489673034,60.1782350482189,13
"126","1926",687796,50099.3714285714,39496.7,3031.74221800461,1,1,"Sster_0521","SM7",35,7,4,33.34,0.641153846153846,204951,TRUE,45,0.610782603363247,68.98083441615,10
